data,u,v,vento_velocidade,vento_rajada,vento_direcao,cluster
2024-01-01,0.4358906891595012,0.8638076894352854,1.4749999999999999,4.425,98.375,3
2024-01-02,0.33595712649093473,1.7863087233336268,2.0875,5.308333333333334,196.875,3
2024-01-03,1.127705661617548,2.600231811591895,2.9125,6.970833333333334,39.708333333333336,2
2024-01-04,1.2907448215563964,1.9121139764442818,2.345833333333333,6.325,35.541666666666664,3
2024-01-05,1.252320586585591,1.3905401967028792,2.0,5.879166666666666,46.333333333333336,3
2024-01-06,1.4350614911893438,0.9864947236205989,1.825,5.941666666666666,56.166666666666664,3
2024-01-07,1.2961873234945966,0.7497491279486005,1.6041666666666667,5.179166666666666,58.833333333333336,3
2024-01-08,0.5664551506486727,2.4159602949346723,2.716666666666667,6.783333333333334,129.54166666666666,2
2024-01-09,1.2005216691004912,1.4424798397844565,2.1166666666666667,5.5375000000000005,43.833333333333336,3
2024-01-10,1.437987730302391,0.8207288253489877,1.8458333333333334,5.820833333333333,57.75,3
2024-01-11,1.6445528800425482,-0.03773759286729548,1.875,6.058333333333334,96.66666666666667,3
2024-01-12,1.6221979885555793,-0.09702660180229006,1.7583333333333335,5.529166666666666,91.25,3
2024-01-13,1.320368945150378,0.31200765628711974,1.625,5.083333333333333,70.79166666666667,3
2024-01-14,1.3895631473208638,1.6971052994248925,2.220833333333333,6.470833333333334,40.5,3
2024-01-15,1.6950688976881487,0.7308975663494489,1.875,6.095833333333334,65.0,3
2024-01-16,2.0166364377893644,0.32103096944748044,2.120833333333333,6.820833333333333,79.25,1
2024-01-17,1.6417584659365738,0.5928360199574857,1.8875,5.945833333333333,68.41666666666667,3
2024-01-18,1.6220082405255154,0.350106988015411,1.7083333333333333,5.470833333333334,74.75,3
2024-01-19,1.7586585520126337,0.7797283777695917,2.029166666666667,6.075,63.875,3
2024-01-20,1.1222362152452867,1.503144732058536,1.9375,5.158333333333333,37.458333333333336,3
2024-01-21,0.7400954678027444,2.824552212075116,3.0541666666666667,7.2,55.833333333333336,2
2024-01-22,0.9304041381084712,3.3581256401706128,3.5666666666666664,7.945833333333333,59.875,2
2024-01-23,0.8790276413791047,3.7997470512824543,3.9625,8.358333333333333,72.20833333333333,2
2024-01-24,1.0094103837502946,3.7508605443466188,3.9875000000000003,8.929166666666667,74.91666666666667,2
2024-01-25,0.653179638382284,4.0093203797555,4.108333333333333,9.129166666666666,68.375,2
2024-01-26,1.6069809234864565,3.983500887892776,4.375,9.304166666666667,36.541666666666664,2
2024-01-27,1.8267854966167416,2.9885690049214695,3.5541666666666667,8.795833333333333,33.333333333333336,2
2024-01-28,1.8394591682501096,1.077937606178533,2.2875,6.5874999999999995,59.666666666666664,1
2024-01-29,2.4007811135748063,0.3182326332250727,2.566666666666667,7.645833333333333,79.54166666666667,1
2024-01-30,2.2562180825879388,-0.23626566350586028,2.504166666666667,7.204166666666667,90.25,1
2024-01-31,1.4106554913908973,-0.20681541382320542,1.7041666666666666,5.895833333333333,115.375,3
2024-02-01,1.773649686141961,0.022586123190356674,1.9583333333333333,5.9875,88.04166666666667,3
2024-02-02,2.1628430412385673,0.5039665355460604,2.2875,6.820833333333333,74.58333333333333,1
2024-02-03,2.2513735761506073,-1.5549166196417106,2.8833333333333333,8.299999999999999,121.08333333333333,0
2024-02-04,1.7373026072959565,-0.4348092769433678,1.9708333333333334,7.1125,100.58333333333333,1
2024-02-05,2.0210400478996404,0.5145792518876083,2.125,7.229166666666667,76.58333333333333,1
2024-02-06,1.8835530601136898,0.04376339479361283,2.0124999999999997,6.0375000000000005,89.25,1
2024-02-07,1.875932411382819,0.7226879942360477,2.091666666666667,6.495833333333334,68.08333333333333,1
2024-02-08,1.6003548170201631,1.2432509881843261,2.058333333333333,6.3625,53.458333333333336,3
2024-02-09,1.732481724745041,0.861843815598791,2.1,6.641666666666667,63.291666666666664,1
2024-02-10,2.2331329389310444,0.5552307949162927,2.3583333333333334,7.3374999999999995,74.79166666666667,1
2024-02-11,1.9860547707604645,-0.6704728589594113,2.4125,7.504166666666666,102.83333333333333,1
2024-02-12,2.016236007591527,-1.0525101785100273,2.4875000000000003,8.616666666666667,116.70833333333333,1
2024-02-13,1.9465084136882111,-0.8274211843099207,2.2958333333333334,7.758333333333334,110.66666666666667,1
2024-02-14,1.6097034555755938,-1.7042128656571516,2.4875000000000003,7.054166666666667,130.08333333333334,1
2024-02-15,1.3480300283021898,0.3685074404998765,2.1374999999999997,5.625,77.5,3
2024-02-16,1.0445589046876893,2.4732074224864653,2.8166666666666664,7.020833333333333,70.375,2
2024-02-17,1.5631231468146707,0.37356817709043105,1.7625000000000002,5.375,73.04166666666667,3
2024-02-18,1.5570547217472972,-0.5407079902202723,1.8833333333333335,5.945833333333333,99.16666666666667,3
2024-02-19,1.622953737376414,0.3787789547272868,1.8499999999999999,5.816666666666666,79.125,3
2024-02-20,1.5637800205307517,0.5265824470118596,2.029166666666667,5.995833333333334,71.45833333333333,3
2024-02-21,1.1667039937934705,1.139378378118699,1.8833333333333335,5.675,62.291666666666664,3
2024-02-22,1.5067934643057574,0.6472507198502039,1.8499999999999999,5.2124999999999995,63.125,3
2024-02-23,1.9458140040068115,-0.5482546527095787,2.1999999999999997,7.5375000000000005,101.875,1
2024-02-24,1.6292435892988477,-2.455431599577556,3.0500000000000003,9.108333333333333,142.70833333333334,0
2024-02-25,1.8107056938363304,-1.921589925780106,2.7708333333333335,9.6,134.20833333333334,0
2024-02-26,1.445876714326667,-2.4437799476077866,3.0541666666666667,9.637500000000001,141.75,0
